Date,Property,Unit,Category,Amount,Paid?,Vendor,Notes
2022-01-20,Leslieville Fourplex,Unit 4,Heating,511.01,Yes,Don Valley HVAC,Furnace service
2022-01-11,Leslieville Fourplex,Unit 3,Pest Control,310.17,Y,Queen West Pest Control,Follow-up treatment
2022-01-17,Danforth Triplex,Lower,Cleaning,178.42,N,Greenwood Cleaning,Turnover clean
27/01/2022,Parkdale Walk-Up,Unit 12,Cleaning,196.06,Y,Greenwood Cleaning,Common area clean
2022-01-13,Leslieville Fourplex,Unit 3,Heating,612.88,Y,Don Valley HVAC,Bled radiators
2022-01-11,Danforth Triplex,Lower,Cleaning,164.82,Y,Greenwood Cleaning,Common area clean
"Jan 28, 2022",Leslieville Fourplex,Unit 3, Plumbing ,175.95,Y,Beaches Plumbing Co.,Replaced shut-off valve
28/01/2022,Parkdale Walk-Up,Unit 6,Plumbing,307.77,Y,Beaches Plumbing Co.,Cleared bathroom drain
2022/01/31  ,Danforth Triplex,Common area,Electrical,419.68,Yes,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
"Jan 24, 2022",Leslieville Fourplex,Common area,Plumbing,331.85,Yes,Beaches Plumbing Co.,Replaced shut-off valve
"Jan 17, 2022",Leslieville Fourplex,Common area,Appliance,187.50,yes,Riverdale Appliance Repair,Fridge not cooling
2022-01-06,Danforth Triplex,Main,Cleaning,111.21,Yes,Greenwood Cleaning,Turnover clean
2022-01-06,Leslieville Fourplex,Unit 3, Electrical ,578.67,Y,Leslieville Electric Ltd,Swapped hallway light fixture
2022-01-28,Leslieville Fourplex,Common area,Plumbing,236.80,Y,Beaches Plumbing Co., Replaced kitchen faucet cartridge
2022-01-17,Leslieville Fourplex,Common area,Pest Control,314.32,Y,Queen West Pest Control,Follow-up treatment
2022-02-02,Danforth Triplex,Main,Rent,"$2,150.00",Y,,
2022-02-03,Danforth Triplex,Upper,Rent,2400,Yes,,
05/02/2022,Danforth Triplex,Lower,Rent,n/a,Y,,
2022-02-03,Leslieville Fourplex,Unit 1,Rent,1900,Y,,
2022/02/01,Leslieville Fourplex,Unit 3,Rent,2050,Yes,,
2022-02-01,Leslieville Fourplex,Unit 4,Rent,2250,Y,,
2022-02-01,Parkdale Walk-Up,Unit 1,Rent,1550,No,,
05/02/2022,Parkdale Walk-Up,Unit 2,Rent,1595.00,Y,,
2022-02-02,Parkdale Walk-Up,Unit 3,Rent,1640.00,Y,,
2022-02-05,Parkdale Walk-Up,Unit 4,Rent,1685.00,N,,
"Feb 2, 2022",Parkdale Walk-Up,Unit 5,Rent,1730.00,Y,,
2022-02-03,Parkdale Walk-Up,Unit 6, Rent ,1775,Y,,
2022-02-01,Parkdale Walk-Up,Unit 7,Rent,1820,N,,
2022-02-01,Parkdale Walk-Up,Unit 8,Rent,1865.00,Yes,,
01/02/2022,Parkdale Walk-Up,Unit 9,Rent,1910.00,Y,,
2022-02-01,Parkdale Walk-Up,Unit 10,Rent,1955.00,TRUE,,
2022-02-02,Parkdale Walk-Up,Unit 11,Rent,2000,Y,,
2022-02-01,Parkdale Walk-Up,Unit 12,Rent,"$2,045.00",Y,,
2022-02-05,Parkdale Walk-Up,Unit 7,Cooling,484.28,Y,Don Valley HVAC,Window unit replaced
"Feb 17, 2022",Danforth Triplex,Upper,Heating,603,Y,Don Valley HVAC,Replaced furnace igniter
2022/02/20,Parkdale Walk-Up,Unit 4,Cleaning,131.35,Y,Greenwood Cleaning,Common area clean
2022-02-06,Leslieville Fourplex,Unit 3,Electrical,504.72,Yes,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
2022-02-08,Parkdale Walk-Up,Unit 8,Plumbing,377.23,Y,Beaches Plumbing Co.,Replaced shut-off valve
"Feb 22, 2022",Leslieville Fourplex,Unit 1,Electrical,505.32,Y,Leslieville Electric Ltd,Replaced GFCI outlet
2022-02-08,Parkdale Walk-Up,Unit 2,Pest Control,224.38,Y,Queen West Pest Control,"Mice treatment, basement"
2022-02-05,Parkdale Walk-Up,Unit 8,Plumbing,308.89,TRUE,Beaches Plumbing Co., Replaced shut-off valve
2022-02-23,Leslieville Fourplex,Unit 4,Heating,504.71,Y,Don Valley HVAC,Bled radiators
2022-02-21,Leslieville Fourplex,Common area,Landscaping,$99.95,Y,Greenwood Cleaning,Leaf cleanup
2022-02-22,Parkdale Walk-Up,Unit 12,SNOW REMOVAL,222.09,Y,Snowline Property Services,Salted front steps
2022-02-13,Leslieville Fourplex,Unit 2,Plumbing,351.18,No, Beaches Plumbing Co.,Cleared bathroom drain
2022-02-09,Danforth Triplex,Common area,Pest Control,360.20,Yes,Queen West Pest Control  ,"Mice treatment, basement"
2022-02-05,Leslieville Fourplex,Common area,Appliance,356.28,yes,Riverdale Appliance Repair,Dryer belt replaced
2022/02/16, Parkdale Walk-Up ,Unit 9,Appliance,436.28,Y,Riverdale Appliance Repair,Fridge not cooling
2022-02-07,Leslieville Fourplex,Unit 4,Plumbing,185.50,Yes,Beaches Plumbing Co.,Replaced shut-off valve
2022-02-22,Parkdale Walk-Up,Unit 6,Electrical,,Yes,Leslieville Electric Ltd  ,"Breaker tripping, traced to dryer"
2022-02-26,Parkdale Walk-Up,Common area,Heating,646.23,Y,Don Valley HVAC,Replaced furnace igniter
2022-02-20,Leslieville Fourplex,Unit 3,Electrical,484.97,Y,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
2022-02-05, Danforth Triplex ,Common area,Cleaning,$158.38,Y,Greenwood Cleaning  ,Common area clean
2022-03-02,Danforth Triplex,Main,Rent,2150,yes,,
2022-03-05,Danforth Triplex,Upper,Rent,2400,Y,,
2022-03-01,Leslieville Fourplex,Unit 1,Rent,1900,Yes,,
2022-03-01,Leslieville Fourplex,Unit 2,Rent,"$1,950.00",Y,,
2022/03/05,Leslieville Fourplex,Unit 3,Rent,"$2,050.00",Y,,
 2022-03-01,Leslieville Fourplex,Unit 4,Rent,2250.00,Yes,,
 2022-03-01,Parkdale Walk-Up,Unit 1,Rent,1550,Y,,
2022-03-01,Parkdale Walk-Up,Unit 2,Rent,1595,N,,
2022-03-01,Parkdale Walk-Up,Unit 3,Rent,1640.00,Y,,
2022-03-05,Parkdale Walk-Up,Unit 4,Rent,1685.00,Yes,,
2022-03-05,Parkdale Walk-Up,Unit 5,Rent,1730,yes,,
2022-03-01,Parkdale Walk-Up,Unit 6,Rent,,yes,,
2022-03-01,Parkdale Walk-Up,Unit 7,Rent,1820,Y,,
2022-03-01,Parkdale Walk-Up,Unit 9,rent,1910.00,Y,,
05/03/2022,Parkdale Walk-Up,Unit 10,Rent,1955.00,Yes,,
2022-03-01,Parkdale Walk-Up,Unit 11,Rent,2000,Y,,
2022-03-01,Parkdale Walk-Up,Unit 12,Rent,2045,Y,,
2022/03/23,Danforth Triplex,Main,Electrical,519.02,TRUE,Leslieville Electric Ltd,Replaced GFCI outlet
2022-03-03,Parkdale Walk-Up,Unit 5,Heating,460.97,Y,Don Valley HVAC,Furnace service
22/03/2022,Parkdale Walk-Up,Unit 2,Appliance,$251.40,Y,Riverdale Appliance Repair,Stove element replaced
2022-03-15,Parkdale Walk-Up,Unit 11,Heating,876.71,Y,Don Valley HVAC,Boiler pressure reset
07/03/2022,PARKDALE WALK-UP,Unit 6,Appliance,478.65,Y,Riverdale Appliance Repair,Dryer belt replaced
2022-03-11,Danforth Triplex,Lower, Pest Control ,299.71,Y,Queen West Pest Control,"Mice treatment, basement"
2022-03-27,Danforth Triplex,Lower, Electrical ,317.53,FALSE,Leslieville Electric Ltd,Swapped hallway light fixture
2022-03-18,Leslieville Fourplex,Unit 2,Electrical,213.97,Y,Leslieville Electric Ltd,Swapped hallway light fixture
13/03/2022,Parkdale Walk-Up,Unit 11,Appliance,241.46,Y,Riverdale Appliance Repair,Fridge not cooling
"Mar 13, 2022",Leslieville Fourplex,Unit 2,Electrical,214.86,Yes,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
2022-03-12,Danforth Triplex,Common area,Appliance,218.78,Y, Riverdale Appliance Repair,Stove element replaced
2022-03-08,Danforth Triplex,Upper,Cleaning,91.71,Yes,Greenwood Cleaning,Turnover clean
2022-03-25,Leslieville Fourplex,Common area,Appliance,295.38,Y,Riverdale Appliance Repair,Fridge not cooling
2022-03-20,Leslieville Fourplex,Unit 4,Plumbing,523.47,yes,Beaches Plumbing Co.,Fixed running toilet
2022-03-14, Leslieville Fourplex ,Unit 3,Electrical,164.75,no,Leslieville Electric Ltd,Swapped hallway light fixture
2022-03-09,Parkdale Walk-Up,Unit 2,Plumbing,339.62,Y,Beaches Plumbing Co.,Replaced shut-off valve
"Mar 16, 2022",Leslieville Fourplex,Common area,Appliance,212.52,N,Riverdale Appliance Repair,Fridge not cooling
2022-03-22,LESLIEVILLE FOURPLEX,Unit 4,Appliance,242.59,Y,Riverdale Appliance Repair,Fridge not cooling
2022-04-01,Danforth Triplex,Main,Rent,2150.00,Y,,
01/04/2022,Danforth Triplex,Upper,Rent,2400.00,Y,,
01/04/2022,Danforth Triplex,Lower,Rent,"$1,650.00",yes,,
2022-04-02,Leslieville Fourplex,Unit 1,Rent,1900,N,,
2022-04-02,Leslieville Fourplex,Unit 1,Rent,1900,N,,
2022-04-03,Leslieville Fourplex,Unit 2,Rent,1950.00,Y,,
2022-04-01,Leslieville Fourplex,Unit 3,Rent,2050.00,Yes,,
2022-04-02,Leslieville Fourplex,Unit 4,Rent,2250.00,yes,,
2022-04-02,Leslieville Fourplex,Unit 4,Rent,2250.00,yes,,
2022-04-05,Parkdale Walk-Up,Unit 1,Rent,1550,Y,,
2022-04-02,Parkdale Walk-Up,Unit 2,Rent,1595.00,Yes,,
2022-04-01,parkdale walk-up,Unit 3,Rent,1640.00,TRUE,,
2022/04/03,Parkdale Walk-Up,Unit 4,Rent,1685,Y,,
2022-04-03,Parkdale Walk-Up,Unit 5,Rent,1730,Yes,,
2022-04-01,Parkdale Walk-Up,Unit 6,Rent,1775,Y,,
2022-04-02,Parkdale Walk-Up,Unit 7,Rent,1820.00,Y,,
02/04/2022,Parkdale Walk-Up,Unit 8,Rent,1865,Yes,,
2022/04/01, Parkdale Walk-Up ,Unit 9,Rent,1910.00,Y,,
2022-04-01,Parkdale Walk-Up,Unit 10,Rent,1955.00,Y,,
2022-04-01,Parkdale Walk-Up,Unit 11,Rent,2000.00,Yes,,
2022-04-01,Parkdale Walk-Up,Unit 12,Rent,2045.00,Yes,,
2022-04-23,Parkdale Walk-Up,Unit 10,Cleaning,201.00,Y,Greenwood Cleaning,Common area clean
2022-04-08,Parkdale Walk-Up,Unit 10,Pest Control,294.23,Yes,Queen West Pest Control,Follow-up treatment
14/04/2022,Parkdale Walk-Up,Unit 7,Cleaning,205.25,Y,Greenwood Cleaning,Common area clean
2022-04-13,Leslieville Fourplex,Unit 4,Electrical,117.78,Y,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
2022-04-20,Parkdale Walk-Up,Unit 1,Pest Control,112.14,Y,Queen West Pest Control, Follow-up treatment
2022-04-20,Leslieville Fourplex,Unit 1,Plumbing,545.80,Y,Beaches Plumbing Co.,Cleared bathroom drain
2022-04-08,Danforth Triplex,Lower,Cleaning,181.02,Yes,Greenwood Cleaning,Turnover clean
2022-04-11,Danforth Triplex,Common area,Plumbing,343.56,Y,Beaches Plumbing Co.,Replaced shut-off valve
2022-04-10,LESLIEVILLE FOURPLEX,Unit 4,snow removal,230.44,Y,Snowline Property Services,Salted front steps
"Apr 19, 2022",Danforth Triplex,Lower,Plumbing,376.62,Yes,Beaches Plumbing Co.  ,Fixed running toilet
2022/04/03,Leslieville Fourplex,Common area,Appliance,289.94,Y,Riverdale Appliance Repair,Dryer belt replaced
2022/04/24,Leslieville Fourplex,Unit 4,Electrical,225.08,Y,Leslieville Electric Ltd,Swapped hallway light fixture
2022-04-04,Leslieville Fourplex,Unit 2,Plumbing,290.93,Y,Beaches Plumbing Co.,Cleared bathroom drain
"Apr 19, 2022",Leslieville Fourplex,Unit 1,Appliance,334.89,Y,Riverdale Appliance Repair,Dryer belt replaced
01/05/2022,Danforth Triplex,Main,Rent,2150.00,Y,,
2022-05-01,Danforth Triplex,Upper,Rent,2400.00,Y,,
2022-05-02,Danforth Triplex,Lower,Rent,1650,Y,,
2022-05-02,Leslieville Fourplex,Unit 1,Rent,1900,Y,,
2022-05-02,Leslieville Fourplex,Unit 1,Rent,1900,Y,,
2022-05-03,Leslieville Fourplex,Unit 2,Rent,1950,Y,,
05/05/2022, Leslieville Fourplex ,Unit 3,Rent,2050.00,Y,,
2022-05-02,Leslieville Fourplex,Unit 4,Rent,2250.00,Yes,,
2022-05-03,Parkdale Walk-Up,Unit 1,Rent,1550.00,Y,,
2022-05-03,PARKDALE WALK-UP,Unit 2,Rent,1595.00,Y,,
"May 5, 2022",Parkdale Walk-Up,Unit 3,rent,1640.00,Y,,
2022-05-01,Parkdale Walk-Up,Unit 4,Rent,1685,Y,,
2022-05-01,Parkdale Walk-Up,Unit 5,Rent,1730.00,Yes,,
02/05/2022,Parkdale Walk-Up,Unit 6,Rent,1775.00,Y,,
2022-05-01,Parkdale Walk-Up,Unit 7,Rent,1820,Y,,
2022/05/01,Parkdale Walk-Up,Unit 8,Rent,1865.00,Yes,,
2022-05-01,Parkdale Walk-Up,Unit 9,Rent,1910.00,Y,,
"May 3, 2022",Parkdale Walk-Up,Unit 10,Rent,1955,Y,,
2022-05-01,Parkdale Walk-Up,Unit 11,Rent,2000,Y,,
2022-05-01,Parkdale Walk-Up,Unit 12,Rent,2045.00,Y,,
2022-05-23,Parkdale Walk-Up,Unit 5,Electrical,430.16,N,Leslieville Electric Ltd,Replaced GFCI outlet
2022-05-04, Danforth Triplex ,Lower,Plumbing,359.11,FALSE,Beaches Plumbing Co.,Fixed running toilet
15/05/2022,Danforth Triplex,Lower,Cleaning,$104.88,Y,Greenwood Cleaning,Common area clean
2022/05/07,Danforth Triplex,Main,Pest Control,219.94,Y,Queen West Pest Control,Follow-up treatment
2022-05-27,Danforth Triplex,Common area,Snow Removal,128.97,N,Snowline Property Services,Walkway and steps cleared
2022-05-18,Danforth Triplex,Lower,Plumbing,$293.16,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
17/05/2022,LESLIEVILLE FOURPLEX,Unit 4,Pest Control,356.38,Y,Queen West Pest Control,Follow-up treatment
2022-05-31, Leslieville Fourplex ,Unit 2,Appliance,250.23,Yes,Riverdale Appliance Repair,Fridge not cooling
2022-05-10,Parkdale Walk-Up,Unit 5,Plumbing,230.38,Yes,Beaches Plumbing Co.,Replaced shut-off valve
2022-05-17,Leslieville Fourplex,Unit 4,Landscaping,177.66,no,Greenwood Cleaning,Leaf cleanup
2022-05-11,Parkdale Walk-Up,Unit 9,Pest Control,40.00,Yes,Queen West Pest Control,"Mice treatment, basement"
2022-05-10,Leslieville Fourplex,Unit 2,Pest Control,234.72,Y,Queen West Pest Control,"Mice treatment, basement"
"May 18, 2022",Danforth Triplex,Lower,Plumbing,432.63,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
2022/05/13,Parkdale Walk-Up,Unit 7,Pest Control,182.31,yes,Queen West Pest Control,Follow-up treatment
2022-05-31,Danforth Triplex,Common area,Cleaning,210.05,Y,Greenwood Cleaning,Turnover clean
2022-05-18,Danforth Triplex,Common area,Electrical,367.46,Y,Leslieville Electric Ltd,Swapped hallway light fixture
2022-05-13,Danforth Triplex,Common area,Appliance,305.52,Y,Riverdale Appliance Repair,Dryer belt replaced
2022-05-23,Leslieville Fourplex,Common area,Appliance,348.89,Y,Riverdale Appliance Repair,Stove element replaced
2022-05-04,Leslieville Fourplex,Unit 4,Plumbing,462.26,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
2022-06-01,Danforth Triplex,Main,Rent,"$2,150.00",Y,,
2022-06-01,Danforth Triplex,Upper,Rent,2400,Y,,
"Jun 3, 2022",Danforth Triplex,Lower,Rent,1650.00,yes,,
"Jun 2, 2022",Leslieville Fourplex,Unit 1,Rent,1900.00,Y,,
2022-06-02,Leslieville Fourplex,Unit 2,Rent,1950.00,Y,,
"Jun 5, 2022",Leslieville Fourplex,Unit 3,Rent,2050.00,Y,,
2022-06-01,Leslieville Fourplex,Unit 4,Rent,2250.00,Y,,
01/06/2022,Parkdale Walk-Up,Unit 1,RENT,1550.00,Y,,
2022-06-01,Parkdale Walk-Up,Unit 2,Rent,"$1,595.00",TRUE,,
01/06/2022,parkdale walk-up,Unit 3,Rent,1640,Y,,
2022-06-01, Parkdale Walk-Up ,Unit 4,Rent,1685.00,Yes,,
2022-06-01,Parkdale Walk-Up,Unit 5,Rent,1730,Y,,
2022-06-03,Parkdale Walk-Up,Unit 6,Rent,1775.00,Y,,
2022-06-01,Parkdale Walk-Up,Unit 7,Rent,"$1,820.00",Y,,
2022-06-03,Parkdale Walk-Up,Unit 8,Rent,1865,Yes,,
2022-06-01,Parkdale Walk-Up,Unit 9,Rent,1910.00,yes,,
2022-06-02,Parkdale Walk-Up,Unit 10,Rent,1955,Y,,
2022-06-03,Parkdale Walk-Up,Unit 11,Rent,2000.00,N,,
"Jun 5, 2022",Parkdale Walk-Up,Unit 12,Rent,"$2,045.00",Y,,
2022-06-12,Leslieville Fourplex,Unit 2,Pest Control,354.84,Y,Queen West Pest Control,Follow-up treatment
2022-06-18,Parkdale Walk-Up,Common area,pest control,101.31,Y,Queen West Pest Control,"Mice treatment, basement"
2022-06-23,Leslieville Fourplex,Unit 1,Plumbing,305.43,Y,Beaches Plumbing Co.  ,Replaced kitchen faucet cartridge
05/06/2022,danforth triplex,Upper,Plumbing,448.06,TRUE,Beaches Plumbing Co.,Fixed running toilet
05/06/2022,danforth triplex,Upper,Plumbing,448.06,TRUE,Beaches Plumbing Co.,Fixed running toilet
2022-06-24,Danforth Triplex,Upper,Cooling,472.29,N,Don Valley HVAC,"AC not cooling, recharged"
2022/06/06,Danforth Triplex,Upper,PLUMBING,311.17,Y,Beaches Plumbing Co.,Fixed running toilet
19/06/2022,leslieville fourplex,Unit 2,cleaning,223.23,Y,Greenwood Cleaning,Common area clean
 2022-06-13,Parkdale Walk-Up,Unit 7,Electrical,262.82,TRUE,Leslieville Electric Ltd,Replaced GFCI outlet
2022-06-25,Parkdale Walk-Up,Unit 2,Appliance,267.31,Y,Riverdale Appliance Repair,Dryer belt replaced
20/06/2022,Danforth Triplex,Main,Cooling,470.74,Y,Don Valley HVAC,Window unit replaced
26/06/2022,Parkdale Walk-Up,Unit 7,Pest Control,$219.31,Y,Queen West Pest Control,"Mice treatment, basement"
2022-06-05  ,Parkdale Walk-Up,Unit 2,Cooling,447.19,Y,Don Valley HVAC,"AC not cooling, recharged"
"Jun 6, 2022",Danforth Triplex,Upper,Appliance,$208.62,Yes,Riverdale Appliance Repair,Stove element replaced
30/06/2022,Parkdale Walk-Up,Unit 3,Landscaping,263.84,Y,Greenwood Cleaning,Lawn cut and edging
"Jun 8, 2022",Danforth Triplex,Lower,pest control,448.81,N,Queen West Pest Control,"Mice treatment, basement"
2022/06/12  ,Parkdale Walk-Up,Unit 7,Pest Control,270.94,Y,Queen West Pest Control,Follow-up treatment
2022-06-09,Leslieville Fourplex,Common area,Cooling,366.19,N,Don Valley HVAC,Window unit replaced
2022-06-26,Leslieville Fourplex,Unit 2,Electrical,404.98,Y,Leslieville Electric Ltd,"Breaker tripping, traced to dryer"
21/06/2022,Parkdale Walk-Up,Unit 11,Plumbing,378.92,Y,Beaches Plumbing Co.,Fixed running toilet
2022-06-24,Leslieville Fourplex,Unit 3,Cleaning,$173.14,Y,Greenwood Cleaning,Turnover clean
2022-06-11,Parkdale Walk-Up,Unit 2,Cooling,306.01,Y,Don Valley HVAC,Window unit replaced
2022/07/03,Danforth Triplex,Main,Rent,2150.00,Y,,
2022-07-01,Danforth Triplex,Upper,Rent,2400,Y,,
2022-07-01,Danforth Triplex,Lower,Rent,"$1,650.00",Y,,
2022-07-05,Leslieville Fourplex,Unit 1,Rent,1900,Y,,
2022-07-02,Leslieville Fourplex,Unit 2,Rent,1950,Y,,
2022-07-01,Leslieville Fourplex,Unit 3,Rent,"$2,050.00",No,,
05/07/2022,Leslieville Fourplex,Unit 4,Rent,N/A,No,,
2022-07-01,Parkdale Walk-Up,Unit 1,Rent,1550,No,,
2022-07-02,Parkdale Walk-Up,Unit 2,Rent,1595,Y,,
"Jul 5, 2022",Parkdale Walk-Up,Unit 3,Rent,1640,Y,,
2022-07-03,Parkdale Walk-Up,Unit 4,rent,1685,Y,,
2022-07-02,Parkdale Walk-Up,Unit 5,Rent,1730.00,yes,,
2022-07-05,Parkdale Walk-Up,Unit 6,Rent,"$1,775.00",Y,,
 2022-07-01,Parkdale Walk-Up,Unit 7,Rent,1820.00,Y,,
2022-07-01,Parkdale Walk-Up,Unit 8,Rent,1865,TRUE,,
2022-07-01, Parkdale Walk-Up ,Unit 9,Rent,1910.00,Y,,
2022-07-01, Parkdale Walk-Up ,Unit 10,Rent,1955.00,Y,,
2022-07-02,Parkdale Walk-Up,Unit 11,Rent,2000.00,Y,,
2022-07-01,Parkdale Walk-Up,Unit 12,Rent,2045.00,Y,,
2022-07-12,Parkdale Walk-Up,Unit 3,Landscaping,202.59,yes,Greenwood Cleaning,Lawn cut and edging
2022-07-31,Parkdale Walk-Up,Unit 9,Snow Removal,183.22,Y,Snowline Property Services,Salted front steps
2022-07-18  ,Danforth Triplex,Lower,Pest Control,109.80,Yes,Queen West Pest Control,"Mice treatment, basement"
2022/07/25,Danforth Triplex,Lower,Landscaping,248.66,yes, Greenwood Cleaning,Lawn cut and edging
2022-07-18,Leslieville Fourplex,Unit 2,Pest Control,349.46,Yes,Queen West Pest Control,"Mice treatment, basement"
2022-07-31,Parkdale Walk-Up,Unit 3,Cooling,173.14,Y,Don Valley HVAC,"AC not cooling, recharged"
2022-07-29,DANFORTH TRIPLEX,Common area,Plumbing,278.91,Y,Beaches Plumbing Co.,Replaced kitchen faucet cartridge
2022-07-12,Leslieville Fourplex,Unit 1,Cleaning,106.15,Yes,Greenwood Cleaning,Common area clean
2022-07-18,Leslieville Fourplex,Unit 3,Appliance,$424.44,Y,Riverdale Appliance Repair,Stove element replaced
2022-07-15,Parkdale Walk-Up,Unit 10,Cleaning,217.39,Y,Greenwood Cleaning,Common area clean
04/07/2022,Danforth Triplex,Common area,Cooling,470.09,Y,Don Valley HVAC,"AC not cooling, recharged"
2022/07/11,Parkdale Walk-Up,Unit 12,Electrical,423.12,No,Leslieville Electric Ltd,Swapped hallway light fixture
2022/07/12,Leslieville Fourplex,Unit 2,Electrical,795.85,Y, Leslieville Electric Ltd,Swapped hallway light fixture
2022-07-09, Leslieville Fourplex ,Unit 1,Pest Control,240.42,Y,Queen West Pest Control,"Mice treatment, basement"
23/07/2022,Leslieville Fourplex,Common area,Landscaping,$225.67,Yes,Greenwood Cleaning,Leaf cleanup
2022-07-07,Danforth Triplex,Lower,Pest Control,148.68,Y,Queen West Pest Control,"Mice treatment, basement"
2022-07-03,Parkdale Walk-Up,Unit 9,Cooling,431.77,Y,Don Valley HVAC,Window unit replaced
2022-07-15,Leslieville Fourplex,Unit 1,Plumbing,364.26,Y,Beaches Plumbing Co.,Cleared bathroom drain
2022-07-18,Parkdale Walk-Up,Unit 10,Electrical,312.00,Y,Leslieville Electric Ltd,Swapped hallway light fixture
2022-07-15,Parkdale Walk-Up,Unit 5,Heating,489.89,yes,Don Valley HVAC,Furnace service
2022-07-25,Leslieville Fourplex,Unit 2,Cooling,312.03,Y,Don Valley HVAC,Window unit replaced
01/08/2022,Danforth Triplex,Main,Rent,2150.00,Y,,
2022-08-02, Danforth Triplex ,Upper,Rent,2400,Y,,
2022/08/02,Danforth Triplex,Lower,Rent,1650,Y,,
2022-08-01,Leslieville Fourplex,Unit 1,Rent,1900,Yes,,
03/08/2022,Leslieville Fourplex,Unit 2,Rent,1950,Yes,,
"Aug 3, 2022",Leslieville Fourplex,Unit 3, Rent ,2050,Y,,
2022-08-02,Leslieville Fourplex,Unit 4,Rent,2250.00,Y,,
03/08/2022,Parkdale Walk-Up,Unit 1,Rent,1550.00,Y,,
2022-08-01,Parkdale Walk-Up,Unit 2,Rent,1595.00,Y,,
2022-08-02,Parkdale Walk-Up,Unit 3,Rent,1640.00,Y,,
2022/08/03,Parkdale Walk-Up,Unit 4,Rent,1685,Y,,
2022-08-03,Parkdale Walk-Up,Unit 5,Rent,1730.00,Y,,
2022-08-01,Parkdale Walk-Up,Unit 6,Rent,1775.00,Yes,,
2022-08-01,Parkdale Walk-Up,Unit 7,Rent,1820,Y,,
2022-08-01,PARKDALE WALK-UP,Unit 8,Rent,1865,Y,,
2022-08-03, Parkdale Walk-Up ,Unit 9,Rent,"$1,910.00",TRUE,,
2022-08-05,Parkdale Walk-Up,Unit 10,Rent,1955.00,yes,,
2022-08-01,Parkdale Walk-Up,Unit 11,Rent,2000,Y,,
2022-08-01,Parkdale Walk-Up,Unit 12,Rent,2045,Y,,
2022-08-12,Parkdale Walk-Up,Unit 2,Cleaning,179.79,Yes,Greenwood Cleaning  ,Common area clean
2022-08-24,Parkdale Walk-Up,Unit 12,Cooling,301.83,Y,Don Valley HVAC,Window unit replaced
